name,id,food,price,location,avg_rating
Ci Siamo,54724,Italian,1,Midtown West,4.71895
Zou Zou's,59617,Mediterranean,3,Upper Chelsea,4.57692
Izakaya MEW,30189,Japanese,1,Midtown,4.73782
Rule of Thirds,6012,Japanese,1,Greenpoint,4.66089
Yoon Haeundae Galbi,49338,Korean,2,Midtown,4.65365
Bo Peep Cocktail & Highball Store,51236,American,2,Midtown,4.86733
Keens Steakhouse,3413,Steakhouse,3,Herald Square,4.75388
Resy Presents: The Women of Food at Ci Siamo,60420,Italian,3,Hudson Yards,5.0
Sofreh,27154,Persian,2,Prospect Heights,4.82738
Lilia,418,Italian,3,Williamsburg,4.77314
Peak,10087,American,4,Hudson Yards,4.75813
Nura,54336,New American,2,Greenpoint,4.77216
Place des Fêtes,59848,Mediterranean,1,Clinton Hill,4.84343
al di là Trattoria,53693,Italian,2,Park Slope,4.77228
Oxomoco,2601,Mexican,2,Greenpoint,4.74969
Haenyeo,4951,Korean,2,Park Slope,4.8243
Electric Lemon,6769,American,2,Hudson Yards,4.34079
Café China,59237,Chinese,2,New York Midtown,4.55401
La Pecora Bianca - Bryant Park,9982,Italian,2,Bryant Park,4.57763
Eavesdrop,58369,Cocktail Bar,1,Greenpoint,4.7434
The Skylark,52920,Rooftop Lounge,2,Midtown South,4.52561
Wenwen,59536,Taiwanese,1,Greenpoint,4.69869
Bryant Park Grill,1732,American,2,Midtown,4.49915
Dear Irving on Hudson,4570,Cocktail Bar,2,Times Square/Hell's Kitchen,4.54286
Le Pavillon,50955,French,4,Midtown,4.71605
Bonnie's,54591,Chinese,2,Williamsburg,4.82472
Olmsted,1124,American,2,Prospect Heights,4.73205
Bar 54,10486,American,2,Times Square,4.00982
Sushi Lab Rooftop,5015,Sushi,2,Midtown,4.34363
Avra Estiatorio,54475,Greek,3,Midtown East,4.6937
The Woo Woo,59428,Cocktail Bar,1,Hell's Kitchen,4.16867
Runner Up,59994,Contemporary American,2,Park Slope,4.91064
Kochi,8346,Korean,2,Hell's Kitchen,4.76562
Casa Enrique,58337,Mexican,1,Long Island City,4.72121
Mari,54791,Korean,2,New York,4.80815
Oxalis,3911,New American,2,Prospect Heights,4.83119
Omakase by korami,51762,Japanese,3,Hell’s Kitchen,4.83913
Pasta Louise,41761,Italian,1,Park Slope,4.82099
HaSalon NYC,5501,Mediterranean,4,Hell's Kitchen,4.44859
Vida Verde,6995,Mexican,1,Hells Kitchen,4.34362
Roberta's,6003,American,2,Bushwick,4.78893
Panorama Room,53969,Cocktail Bar,2,Roosevelt Island,4.35165
Avra Madison,54578,Greek,3,Midtown,4.73174
Momofuku Noodle Bar Uptown,3796,Asian,2,Columbus Circle,4.53865
Serendipity 3,41007,American,1,Upper East Side,4.27654
Jean-Georges,5951,French,4,Upper West Side,4.7395
Restaurant Daniel,29947,French,3,Upper East Side,4.70179
Maison Pickle,857,American,2,Upper West Side,4.57157
Sushi W,58367,Sushi,2,New York,4.86641
Goosefeather,7017,Cantonese,3,Tarrytown,4.67237
Le Bilboquet Sag Harbor,10696,French,3,Sag Harbor,4.71851
Della's,60351,Italian American,1,New York,4.83333
Farra,7481,American,3,Tribeca,4.80773
The Bar at Manhatta,59549,American,1,Financial District,4.76995
The Little Shop,36432,Cocktail Bar,2,South Street Seaport,4.80143
Chela Tribeca,62925,Mexican,1,New York,4.875
SAGA,52855,New American,4,Financial District,4.8321
Sant Ambroeus - Brookfield Place,57316,Italian,3,Tribeca,4.8913
Overstory,53052,Cocktail Bar,2,Financial District,4.82211
L'Appart,1770,French,3,Battery Park City,4.84609
NAKAJI,10163,Sushi,4,Chinatown,4.8679
